TID Lib Viability Chr HeTA TAHRE blood burdock Gene Synonym mean_col status tag1 tag2 tag3 tag4
109408 KK viable 2 -3.995456813813723 -4.524297539619385 -0.6967030150210393 -0.8215263843266472 CG1972 IntS11 -2.5094959381951987 2 1 1 1 1
109697 KK viable 2 -2.429721907078191 -2.6092381852585405 -2.773952907819213 -2.1457398934467693 CG1677 CG1677 -2.4896632234006786 4 1 1 1 1
105977 KK viable 2 -3.046188742704328 -3.4348432957831694 -2.5040258345731883 -0.8756982763324536 CG6842 Vps4 -2.465189037348285 3 1 1 1 1
106139 KK viable 2 -3.880942764772967 -4.2582545533976495 -2.1420054518340224 0.4360668022135281 CG5585 CG5585 -2.4612839919477776 3 1 1 1 1
24740 GD viable 3 -2.21821394431102 -2.6220223127451225 -2.1401056565584744 -2.6274315790026934 CG32346 E(bx) -2.4019433731543276 4 1 1 1 1
45484 GD viable 2 -1.9382103593002815 -2.4515874894526366 -2.449743685084417 -2.762486778986183 CG6199 Plod -2.4005070782058797 3 1 1 1 1
108017 KK viable 2 -2.2135394994903566 -2.186066626333959 -3.2818940099898666 -1.9100902557150619 CG1135 Rcd5 -2.397897597882311 3 1 1 1 1
110573 KK viable 2 -1.8627123323351937 -3.457221273330687 -1.4912031136574058 -2.688682567130965 CG4938 Aats-ser -2.3749548216135627 2 1 1 1 1
106344 KK viable 2 -4.147526877062125 -4.427370680968216 -0.5579187739736251 -0.1595989597964622 CG7843 Ars2 -2.323103822950107 2 1 1 1 1
108882 KK viable 2 -2.2239015421594495 -2.4849264362116195 -1.917668627832104 -2.376942791723998 CG8900 RpS18 -2.2508598494817926 3 1 1 1 1
102156 KK viable 2 -5.734680777199549 -6.580372084216506 0.7054369713559445 2.6291330497249525 CG5694 CG5694 -2.2451207100837896 2 1 1 1 1
23680 GD viable 3 -2.085767189507595 -2.6174807670235327 -1.5336729797259194 -2.701271754851326 CG8627 Dbi -2.2345481727770933 3 1 1 1 1
101837 KK viable 2 -2.157683165141198 -2.008744624054514 -1.6647883149609393 -2.9171634453113295 CG3847 CG3847 -2.187094887366995 3 1 1 1 1
100380 KK viable 2 -3.141637886880972 -2.160163172751339 -3.4443645214138243 0.04254189555142584 CG13924 CG13924 -2.1759059213736776 3 1 1 1 1
102792 KK viable 2 -3.296767846276581 -3.569983805860491 -1.099933821894372 -0.6684461500572815 CG13807 CG13807 -2.1587829060221813 2 1 1 1 1
24248 GD viable 3 -2.869018842846874 -2.9770622884861395 -2.1458166432217802 -0.6054381841661913 CG8233 Rcd1 -2.149333989680246 3 1 1 1 1
107177 KK viable 2 -2.0969622598335014 -2.285714495277844 -1.9506052506690137 -2.2596889356331595 CG3201 Mlc-c -2.1482427353533797 3 1 1 1 1
31340 GD viable 2 -1.8117072433816281 -2.2112134085414037 -1.9155591375139491 -2.6342538231965595 CG10741 CG10741 -2.143183403158385 2 1 1 1 1
103710 KK viable 2 -2.4489986122489507 -2.1642943169658446 -1.7522811550097916 -2.191316284858978 CG10228 Pcf11 -2.139222592270891 3 1 1 1 1
25317 GD viable 2 -3.2581594138386754 -2.619097106442383 -2.586662092541444 -0.09039498961599296 CG32505 Pp4-19C -2.1385784006096236 3 1 1 1 1
13178 GD lethal 3 -1.6705855594957881 -2.077921719644442 -2.531699025968018 -2.2358386769118423 CG12157 Tom40 -2.1290112455050227 3 1 1 1 1
107262 KK viable 2 -1.9271241667257002 -2.408607335645905 -2.1086557344174452 -2.0012284993502147 CG13645 Nmnat -2.1114039340348163 3 1 1 1 1
100565 KK viable 2 -1.7050587976766716 -1.845987088013205 -2.1174197431212822 -2.748322408988205 CG7664 crp -2.104197009449841 2 1 1 1 1
100952 KK viable 2 -3.212033012475436 -2.498908086571459 -3.0389616965552544 0.3355883655461994 CG32575 hang -2.1035786075139877 3 1 1 1 1
25248 GD viable 3 -1.550288315475601 -2.085468335094564 -4.2782217305453925 -0.4935969863488328 CG17293 CG17293 -2.1018938418660977 2 1 1 1 1
25427 GD sterile 3 -2.322893637361028 -2.2002769792252943 -2.046432940966862 -1.7536745338066067 CG2677 eIF2B-beta -2.0808195228399478 3 1 1 1 1
24534 GD viable 3 -2.822048343691231 -3.2402635707241725 -1.320669714784277 -0.925327539780324 CG1244 MEP-1 -2.077077292245001 2 1 1 1 1
100082 KK viable 2 -3.9481098083207953 -4.489924560734924 -0.23335725069278015 0.47067582873317493 CG4616 FLASH -2.0501789477538312 2 1 1 1 1
101494 KK viable 2 -1.6757744108916819 -2.788606692807452 -0.4007380169299138 -3.1328133558836275 CG6476 Su(var)3-9 -1.9994831191281688 2 0 1 1 1
17474 GD sterile 3 -2.195768876935801 -2.3465113724374134 -2.2965301733560497 -1.1488820779427438 CG14303 CG14303 -1.996923125168002 3 0 1 1 1
108459 KK viable 2 -3.8403085445827543 -4.539116972980769 -0.36322141222476517 0.766164218179713 CG12372 spt4 -1.9941206779021439 2 0 1 1 1
107313 KK viable 2 -2.912328282450972 -1.4847303084903691 -2.76276982431849 -0.799355176401225 CG7583 CtBP -1.989795897915264 2 0 1 1 1
47745 GD viable 3 -2.130667365287604 -2.3503740045651917 -1.4363424160567737 -2.035141508039357 CG8542 Hsc70-5 -1.9881313234872318 3 0 1 1 1
20995 GD viable 3 -3.2251891156301675 -3.4323008022384314 -0.4834694735904531 -0.6153386613925943 CG5965 woc -1.9390745132129115 2 0 1 1 1
103729 KK viable 2 -1.8139769024001235 -2.4660230326267514 -1.3164781373658248 -2.1412966167599987 CG16721 CG16721 -1.9344436722881746 2 0 1 1 1
24704 GD lethal 2 -1.6972733821168928 -1.849989075476652 -2.148453446690222 -2.028302547990825 CG6546 Bap55 -1.931004613068648 2 0 1 1 1
104408 KK viable 2 -1.3355544143279086 -1.6721818165783078 -2.0327123340384534 -2.6673642067077172 CG6321 CG6321 -1.9269531929130967 2 0 1 1 1
105138 KK viable 2 -3.6231226344218177 -3.7557991806982636 -0.7354529766155847 0.4523259616931924 CG9536 CG9536 -1.9155122075106183 2 0 1 1 1
106684 KK viable 2 -1.8307416998955077 -2.6297660720923193 -3.4740576787566573 0.28639615484991393 CG31212 Ino80 -1.9120423239736426 2 0 1 1 1
110173 KK viable 2 -2.8813406530117374 -3.1516938550060907 -1.8516032878425326 0.2439446952618735 CG7528 Uba2 -1.9101732751496219 2 0 1 1 1
26104 GD viable 3 -3.403625440504279 -2.9151932163805583 -3.027684137656976 1.7322755521123399 CG7574 bip1 -1.9035568106073684 3 0 1 1 1
110767 KK viable 2 -4.388692711053952 -4.666838879244933 -0.72261868027262 2.1806252137721347 CG7425 eff -1.8993812641998427 2 0 1 1 1
100118 KK viable 2 -3.150925833653299 -3.413747615743398 -1.2687442314767408 0.2674766272863092 CG14962 CG14962 -1.891485263396782 2 0 1 1 1
47852 GD viable 3 -1.5021617957745748 -2.2183091849164276 -1.508174335507214 -2.3183981429085594 CG11878 CG11878 -1.886760864776694 2 0 1 1 1
22578 GD viable 2 -1.6126105352891928 -1.5493983784908956 -2.27426554272196 -2.108174254346183 CG7845 CG7845 -1.886112177712058 2 0 1 1 1
103650 KK viable 2 -2.0076649008010654 -1.8758565411705588 -0.9942047461051349 -2.6191584277924473 CG5057 MED10 -1.8742211539673015 2 0 1 1 1
22288 GD viable 3 -2.4203441176581446 -2.6724479296396626 -1.3625972255319776 -1.0198945955120606 CG6189 l(1)1Bi -1.8688209670854614 2 0 1 1 1
47256 GD viable 2 -2.7216038937078046 -2.359492354146119 -1.4274714390663574 -0.9280603926410161 CG12276 Aos1 -1.8591570198903242 2 0 1 1 1
106466 KK viable 2 -3.7647338882363353 -0.09862798709269469 -2.4296116593009707 -1.113203331123942 CG2163 Pabp2 -1.8515442164384857 2 0 1 1 1
110402 KK viable 2 -1.9170241953815206 -1.0697901718412604 -2.118477702109646 -2.2732173373019604 CG3344 CG3344 -1.844627351658597 2 0 1 1 1
103928 KK viable 2 -1.754241070015277 -0.535059798137307 -2.5769422929344183 -2.3315155553397533 CG7379 CG7379 -1.799439679106689 2 0 1 1 1
21865 GD viable 3 -2.046045866649356 -2.217794279455026 -1.098857544704311 -1.7130368295124565 CG4539 Bka -1.7689336300802874 2 0 1 1 1
101401 KK viable 2 -0.45293754713302375 -3.6621997379118443 -0.3198913082261374 -2.618975674887881 CG7339 CG7339 -1.7635010670397215 2 0 1 1 1
100428 KK viable 2 -2.0063071413362294 -0.6521994574786624 -1.8510457862291472 -2.4893985743705205 CG42588 CG42588 -1.7497377398536398 2 0 1 1 1
31701 GD sterile 3 -2.020632620034048 -0.49600790612732765 -1.944229483442442 -2.4888836914491015 CG12225 Spt6 -1.7374384252632298 2 0 1 1 1
103738 KK viable 2 -2.0837981402231267 -1.437092149260965 -1.3655130370438113 -2.0624177561625414 CG13849 Nop56 -1.737205270672611 2 0 1 1 1
108013 KK viable 2 -2.2465517124995107 -0.15166713869384196 -2.14775751217836 -2.3758183017515697 CG6413 Dis3 -1.7304486662808207 3 0 1 1 1
106672 KK viable 2 -3.2657461459979817 -2.6754053747798725 -0.07514633328376254 -0.8505381334044817 CG5354 pie -1.7167089968665246 2 0 1 1 1
107477 KK viable 2 -1.6290044552853764 -0.7591143935785825 -2.162061958167991 -2.3047892444042994 CG8409 Su(var)205 -1.7137425128590624 2 0 1 1 1
107112 KK viable 2 -2.851271227405891 -2.6332212272073843 -0.920956203920987 -0.40123074958049076 CG12357 Cbp20 -1.7016698520286884 2 0 1 1 1
31661 GD viable 3 -1.5716834631634014 -0.513785570486175 -2.65041560781843 -2.0292988348062444 CG12151 Pdp -1.6912958690685627 2 0 1 1 1
108851 KK viable 2 -1.2304224730324447 -1.279102470456483 -2.2327166176386823 -2.011221843540018 CG5748 Hsf -1.688365851166907 2 0 1 1 1
106147 KK viable 2 -4.651964988846389 -5.184347375104318 1.2730332420003576 1.8315695965883332 CG17149 Su(var)3-3 -1.6829273813405041 2 0 1 1 1
25793 GD lethal 3 -0.3187291019598893 -0.5888807871260556 -2.236829733486926 -3.5099666504292606 CG31671 tho2 -1.663601568250533 2 0 1 1 1
110392 KK viable 2 -2.9413398522142544 -3.361406262633013 -0.32088202914438857 0.012485848133407834 CG10955 Rtf1 -1.652785573964562 2 0 1 1 1
102171 KK viable 2 -1.8050014954747728 -0.5186041236735071 -2.0046171523392826 -2.1222961765418953 CG5338 RpS19b -1.6126297370073646 2 0 1 1 1
105149 KK viable 2 -0.6419712736475196 -0.5726323220388673 -2.6599728955254798 -2.4746209322173556 CG10565 CG10565 -1.5872993558573056 2 0 1 1 1
107326 KK viable 2 -3.0156584078221935 -3.4153401082392234 -0.03148997163646584 0.11699963072370581 CG3140 Adk2 -1.5863722142435441 2 0 1 1 1
110673 KK viable 2 -2.4213348745096424 -2.0863031623577615 -0.9415574637628384 -0.8114124502002416 CG7035 Cbp80 -1.565151987707621 2 0 1 1 1
101010 KK viable 2 -2.0228467935271968 -0.8041810101162226 -3.2051497111128606 -0.17448415181625068 CG31510 CG31510 -1.5516654166431327 2 0 1 1 1
101256 KK viable 2 0.08909479014169727 -0.22048438790909344 -3.3424919728976876 -2.501558240342566 CG4936 CG4936 -1.4938599527519125 2 0 0 1 1
101555 KK viable 2 -2.8357951762823235 -2.482109958381233 -0.22154195654830514 -0.38623206591153386 CG10377 Hrb27C -1.481419789280849 2 0 0 1 1
41023 GD viable 2 -2.1462796441452654 -2.3971286726027006 -1.7003386924002324 0.3283613864249809 CG8019 hay -1.4788464056808044 2 0 0 1 1
105133 KK lethal 2 -1.7627042889583489 0.28100344390700643 -2.065691738005321 -2.35493878653608 CG10370 Tbp-1 -1.4755828423981858 2 0 0 1 1
107951 KK sterile 2 -0.6410582451871298 0.33339250741143417 -3.2823129605194103 -2.2617803369960057 CG4621 YL-1 -1.462939758822778 2 0 0 1 1
105499 KK viable 2 -0.9555545149477305 -0.08619347496131681 -2.469038094630144 -2.266351506211099 CG3689 CG3689 -1.4442843976875726 2 0 0 1 1
103388 KK viable 2 -2.6827428617369264 -2.963942904206541 -0.298957053347206 0.21952811470226172 CG13410 mRpL35 -1.4315286761471029 2 0 0 1 1
109138 KK viable 2 -2.011612258932988 -0.08509869950007592 -1.3656062958709518 -2.218571212659615 CG9354 RpL34b -1.4202221167409077 2 0 0 1 1
100034 KK viable 2 -2.265876446065906 -2.099389171116403 0.2581843350306345 -1.5491228176019578 CG5304 l(2)01810 -1.4140510249384082 2 0 0 1 1
108845 KK viable 2 -0.7153704317664197 0.3945329337334546 -2.418702974355938 -2.6539309585129813 CG12743 otu -1.348367857725471 2 0 0 1 1
102885 KK viable 2 0.21452457537680583 0.31051502323929997 -3.0518869193255673 -2.303098739163646 CG15319 nej -1.207486514968277 2 0 0 1 1
110215 KK viable 2 -2.136081502605494 0.3786642931153467 -0.8193271121614901 -2.1910074204093704 CG13281 Cas -1.191937935515252 2 0 0 1 1
110324 KK viable 2 -2.508484657960058 -2.6297660720923166 0.5379992744104559 -0.16041825943562416 CG1490 Usp7 -1.1901674287693857 2 0 0 1 1
26544 GD viable 3 -1.537916900807586 1.1597831922683133 -2.0742232363735797 -2.216965838925758 CG4510 Surf6 -1.1673306959596526 2 0 0 1 1
103632 KK viable 2 -2.3093155501596763 1.298373636627423 -2.3942078589733082 -1.2260787492220486 CG12141 Aats-lys -1.1578071304319026 2 0 0 1 1
100718 KK viable 2 -2.2322249871735425 -2.1871678565620094 -0.40978105550613575 0.6183415728148143 CG6677 ash2 -1.0527080816067182 2 0 0 1 1
108900 KK viable 2 -2.709338379724949 -2.833710276205472 -0.31326702209227675 1.7143812990417593 CG5637 nos -1.0354835947452345 2 0 0 1 1
47248 GD viable 3 -2.0603467083209503 -2.106411592573235 -0.13728410088229268 0.1663801911243563 CG42265 CG42265 -1.0344155526630303 2 0 0 1 1
103622 KK viable 2 -2.300077322429599 -2.3495866462340147 0.7895703398521963 -0.25895912158896417 CG31852 Tap42 -1.0297631876000954 2 0 0 1 1
49822 GD viable 3 -2.943097220495515 -3.545133714701342 0.7909469351022241 1.7693690346045574 CG9958 snapin -0.9819787413725188 2 0 0 1 1
105181 KK viable 2 -2.2900732537426842 -2.512152299325684 0.3555615750238469 0.5599621298123171 CG7398 Trn -0.9716754620580511 2 0 0 1 1
100817 KK viable 2 -2.107055342515765 -2.061682640918886 -0.37444050992344957 1.2609049731748037 CG4429 Rbp2 -0.8205683800458243 2 0 0 1 1
100723 KK viable 2 -2.8450772079928446 -2.032843696810956 0.7256539524587775 2.877342957600526 CG4211 nonA -0.3187309986861242 2 0 0 1 1
